iter	Logloss
0	0.6894916439
1	0.6842610828
2	0.6822140182
3	0.6717534463
4	0.6703844831
5	0.6675989319
6	0.6632784904
7	0.6580581539
8	0.6558226933
9	0.6555677012
10	0.6530726434
11	0.6529983418
12	0.6483417501
13	0.6454028179
14	0.6364951873
15	0.6356037637
16	0.6319166722
17	0.6310480359
18	0.6308219694
19	0.630401096
20	0.6243179676
21	0.6190774326
22	0.6190774295
23	0.6186993313
24	0.6112097465
25	0.6109378048
26	0.6081494324
27	0.6077485182
28	0.6026561791
29	0.596306998
30	0.5961888109
31	0.5958339669
32	0.595833961
33	0.592257777
34	0.5900507465
35	0.5888631201
36	0.5875965778
37	0.585245202
38	0.5817315434
39	0.5780939698
40	0.5776603692
41	0.5755927207
42	0.5753089079
43	0.5683287401
44	0.5663313847
45	0.5628203924
46	0.5618069209
47	0.5588212829
48	0.5563632253
49	0.5543057212
50	0.5541739333
51	0.5511958761
52	0.5467551475
53	0.5444230571
54	0.543587232
55	0.5404510243
56	0.5404349588
57	0.5404349546
58	0.540421596
59	0.5395006078
60	0.5382340539
61	0.5361258166
62	0.535043689
63	0.533474712
64	0.529599492
65	0.52659641
66	0.5226016369
67	0.5225698474
68	0.5215983596
69	0.5204698061
70	0.5174691547
71	0.5164980409
72	0.5155032468
73	0.5123105038
74	0.5063456509
75	0.5037266095
76	0.5019394815
77	0.4980781084
78	0.4942075754
79	0.4899990549
80	0.4831738335
81	0.481431035
82	0.477374986
83	0.4763381308
84	0.4734310536
85	0.4705653792
86	0.4671335264
87	0.4650250386
88	0.4623661852
89	0.4574421274
90	0.4545453242
91	0.4533283153
92	0.4503296134
93	0.4480006103
94	0.4456599152
95	0.4446682634
96	0.4414599908
97	0.4370571838
98	0.4349384422
99	0.4324714552
100	0.4304503465
101	0.4292855506
102	0.4265186675
103	0.4222085034
104	0.418707327
105	0.4159472459
106	0.4134842885
107	0.410521173
108	0.4066647239
109	0.4045417975
110	0.4029113471
111	0.4004924373
112	0.3974715339
113	0.396203987
114	0.3948178479
115	0.3924890148
116	0.3889967666
117	0.3866751691
118	0.3834644075
119	0.3799940842
120	0.3785835363
121	0.3759202187
122	0.3753485161
123	0.3739795041
124	0.3707510377
125	0.3687273173
126	0.3657978473
127	0.3635548788
128	0.3609518077
129	0.3603425267
130	0.3577031698
131	0.354800198
132	0.352569661
133	0.3488944369
134	0.3479583693
135	0.3469661069
136	0.3458987959
137	0.3446237129
138	0.3428151995
139	0.3394677933
140	0.3372258108
141	0.3347608371
142	0.3328278544
143	0.3315520556
144	0.3297530098
145	0.3276268995
146	0.3257408876
147	0.3239664235
148	0.322970301
149	0.3202450476
150	0.3189697339
151	0.3165204841
152	0.3144981486
153	0.3135950567
154	0.3115680093
155	0.3095141613
156	0.3090921511
157	0.3054262236
158	0.3045719868
159	0.3029404082
160	0.3014347755
161	0.2999646001
162	0.2985431566
163	0.2981201924
164	0.2970627144
165	0.2953870587
166	0.2943148063
167	0.2937129008
168	0.2919700106
169	0.2900873055
170	0.2883554254
171	0.2868934659
172	0.2847304243
173	0.283433647
174	0.2809492947
175	0.2793966978
176	0.2779685442
177	0.2755049029
178	0.27323976
179	0.2719152611
180	0.2709229182
181	0.2707663675
182	0.2700550828
183	0.2680350328
184	0.2670337334
185	0.2645186952
186	0.2635019199
187	0.262483043
188	0.261507964
189	0.2604889993
190	0.2581274073
191	0.2573920713
192	0.2568144643
193	0.2551933004
194	0.2541299209
195	0.2521804639
196	0.2509219299
197	0.2493481415
198	0.2480305653
199	0.2467430954
200	0.2457177614
201	0.2444017907
202	0.2432783276
203	0.2418250254
204	0.2410501727
205	0.2395388855
206	0.2382785403
207	0.2360166345
208	0.2343216604
209	0.2332263157
210	0.2315755268
211	0.2304399071
212	0.2300272223
213	0.2289305282
214	0.2270582216
215	0.2258667234
216	0.2244372018
217	0.2241838357
218	0.2233989593
219	0.2226375473
220	0.2223505365
221	0.2209459997
222	0.2193687271
223	0.2180919943
224	0.217501327
225	0.2168841869
226	0.2155650457
227	0.2150223347
228	0.2140654961
229	0.2126467917
230	0.2117754243
231	0.2109904245
232	0.2104238102
233	0.2101749507
234	0.208714874
235	0.2083406417
236	0.2071591434
237	0.206419031
238	0.205069596
239	0.2038928689
240	0.2025327966
241	0.2018108054
242	0.2013050442
243	0.2012003228
244	0.1994362464
245	0.1979923218
246	0.1973667673
247	0.1968779756
248	0.1955639521
249	0.1950307765
250	0.1949232424
251	0.1935222581
252	0.1934859673
253	0.193091913
254	0.1924904617
255	0.1915160034
256	0.1905591055
257	0.1894822429
258	0.1879524901
259	0.187169526
260	0.186396731
261	0.1855361973
262	0.1846130088
263	0.1843235394
264	0.1840341844
265	0.1837011807
266	0.1828641709
267	0.1819878133
268	0.1817325501
269	0.1805586537
270	0.1792999271
271	0.1792332047
272	0.1782550475
273	0.1774957659
