iter	Logloss
274	0.1763587661
275	0.1757043157
276	0.1752663879
277	0.1745936841
278	0.1740710841
279	0.1727085003
280	0.1715315326
281	0.1713174838
282	0.1706061756
283	0.1703663093
284	0.1693995633
285	0.169013967
286	0.1684840867
287	0.1674411785
288	0.1666400217
289	0.1652721805
290	0.1645737079
291	0.1637284671
292	0.1636083958
293	0.1630477117
294	0.1624736041
295	0.1617198518
296	0.1606620879
297	0.1600805066
298	0.1594587567
299	0.1584871144
300	0.1573491775
301	0.1568586703
302	0.156558721
303	0.1558899719
304	0.1551305282
305	0.1544969339
306	0.153832142
307	0.1530980976
308	0.1521971591
309	0.1514856607
310	0.1510226435
311	0.1503782944
312	0.1499773495
313	0.1494810624
314	0.1490000509
315	0.1480804198
316	0.1477050292
317	0.1466995426
318	0.1459336415
319	0.1449078564
320	0.1445830106
321	0.1442547836
322	0.1435493475
323	0.1430577033
324	0.142961513
325	0.1427159298
326	0.1423605648
327	0.141341229
328	0.1404605342
329	0.1402356083
330	0.1395304544
331	0.1385458509
332	0.1376680488
333	0.1370445886
334	0.1363046988
335	0.1354938585
336	0.1345816027
337	0.133537988
338	0.1327674125
339	0.1320972814
340	0.1317639112
341	0.1311893056
342	0.1308205846
343	0.1304585578
344	0.1300170397
345	0.1296022153
346	0.1290349694
347	0.1286762297
348	0.1281913
349	0.1273832559
350	0.1269466145
351	0.1268449003
352	0.126182683
353	0.1259745986
354	0.1258490432
355	0.1254985458
356	0.1253136597
357	0.1248961373
358	0.1245944224
359	0.1242231233
360	0.1241344572
361	0.1235380904
362	0.1228256188
363	0.1222737075
364	0.1217950437
365	0.1217267488
366	0.121075992
367	0.1207435806
368	0.1204344884
369	0.1201199863
370	0.1199000734
371	0.1195708875
372	0.1193611429
373	0.118874459
374	0.1181408938
375	0.1176328499
376	0.1174257411
377	0.1171689413
378	0.1168986348
379	0.1167287902
380	0.1164308583
381	0.1159412653
382	0.1153901624
383	0.1151439931
384	0.1147853147
385	0.1143170076
386	0.1142209978
387	0.113897261
388	0.1133648906
389	0.1125725973
390	0.1121809191
391	0.1119492827
392	0.1113994413
393	0.1109879903
394	0.1107759067
395	0.110236655
396	0.1096819389
397	0.1090154594
398	0.1087347522
399	0.1084185982
400	0.1078450667
401	0.1074896197
402	0.1073322605
403	0.1070752073
404	0.106886699
405	0.1065342673
406	0.1063242107
407	0.106285839
408	0.1060840853
409	0.1054902613
410	0.1051615198
411	0.1046603794
412	0.1043051498
413	0.1039612594
414	0.1035234064
415	0.1030239844
416	0.1023313719
417	0.1021891342
418	0.1016960926
419	0.1015561387
420	0.1014689227
421	0.1012334256
422	0.1009872243
423	0.1006270594
424	0.1002114632
425	0.09995983428
426	0.09980726418
427	0.09952524273
428	0.09888482543
429	0.09879290845
430	0.09845889834
431	0.09820043179
432	0.09769804719
433	0.09719968189
434	0.09689026012
435	0.09667044928
436	0.0965578051
437	0.0962287002
438	0.09579170895
439	0.09570808061
440	0.09554473767
441	0.0952742483
442	0.09496904702
443	0.09475177324
444	0.09465885104
445	0.09440347083
446	0.09424448877
447	0.09399604072
448	0.09373628573
449	0.09348041272
450	0.0932133547
451	0.09291662487
452	0.09284998174
453	0.09224323631
454	0.09221425936
455	0.09174560642
456	0.0917274858
457	0.09158513518
458	0.09144061649
459	0.09084717773
460	0.09031487564
461	0.08981058101
462	0.08976719595
463	0.08952321076
464	0.08927725964
465	0.08902380544
466	0.0887005678
467	0.08849336365
468	0.08829099306
469	0.08799305643
470	0.08775779089
471	0.08765703258
472	0.08747290215
473	0.08725948736
474	0.08681517459
475	0.0866559746
476	0.08612341141
477	0.08591478893
478	0.08556818678
479	0.08523610552
480	0.08478654399
481	0.08462828065
482	0.08442157889
483	0.08414297918
484	0.08404589959
485	0.08395438041
486	0.08363057773
487	0.08351593618
488	0.08314416858
489	0.08292345643
490	0.08281971993
491	0.08268626235
492	0.08246629176
493	0.08215865868
494	0.08207635048
495	0.08191363605
496	0.08162153854
497	0.08134678286
498	0.08104795007
499	0.08095572579
